DBN,School Name,Total Grads Pct of cohort
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,73.90%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,74.60%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,64.80%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,75.70%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,78.30%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,56.80%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,60.80%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,65.10%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,70.10%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,62.70%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,67.70%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,74.70%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,74.70%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,48.30%
06M463,HIGH SCHOOL FOR MEDIA & COMMUNICATIONS,61.10%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,69.80%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,76.50%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,79.00%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,64.70%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,74.30%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,77.20%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,70.50%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,75.00%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,76.50%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,70.90%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,79.80%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,81.80%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,74.70%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,83.30%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,86.30%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,87.70%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,71.30%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,77.20%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,82.00%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,83.20%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,71.80%
06M467,HIGH SCHOOL FOR LAW & PUBLIC SERVICE,74.10%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,53.50%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,68.40%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,71.00%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,56.60%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,71.70%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,72.60%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,55.90%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,67.10%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,68.20%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,65.90%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,77.20%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,77.80%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,66.70%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,71.00%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,75.90%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,78.40%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,55.70%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,61.40%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,68.10%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,69.40%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,46.30%
06M468,HIGH SCHOOL FOR HEALTH CAREERS & SCIENCES,59.40%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,66.40%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,73.90%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,74.30%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,61.00%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,71.70%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,74.80%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,63.10%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,79.50%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,81.80%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,58.70%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,75.40%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,77.30%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,86.40%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,88.60%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,92.90%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,94.70%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,71.20%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,77.20%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,80.70%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,81.40%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,81.00%
06M540,A PHILIP RANDOLPH CAMPUS HIGH SCHOOL,82.90%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,56.40%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,70.50%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,73.10%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,50.00%
07X220,MOTT HAVEN VILLAGE SCHOOL,s
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,67.10%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,69.70%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,72.50%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,77.10%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,82.20%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,79.00%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,83.50%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,86.10%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,73.00%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,73.00%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,77.80%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,81.10%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,81.30%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,81.30%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,87.60%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,87.60%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,60.70%
06M552,GREGORIO LUPERON HIGH SCH FOR SCIENCE AND MATHEMAT,68.50%
07X149,ELIJAH D. CLARK SCHOOL,s
07X149,ELIJAH D. CLARK SCHOOL,s
07X149,ELIJAH D. CLARK SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X184,RAFAEL CORDERO Y MOLINA SCHOOL,s
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,s
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,s
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,s
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,73.20%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,78.90%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,78.60%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,85.20%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,88.50%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,90.20%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,90.20%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,80.00%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,90.00%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,90.00%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,90.00%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,83.30%
07X221,SOUTH BRONX PREPARATORY - A COLLEGE BOARD SCHOOL,92.40%
07X222,DR. MARIO SALVADORI SCHOOL,s
07X222,DR. MARIO SALVADORI SCHOOL,s
07X222,DR. MARIO SALVADORI SCHOOL,s
07X222,DR. MARIO SALVADORI SCHOOL,s
07X222,DR. MARIO SALVADORI SCHOOL,s
07X222,DR. MARIO SALVADORI SCHOOL,s
07X222,DR. MARIO SALVADORI SCHOOL,s
07X222,DR. MARIO SALVADORI SCHOOL,s
07X222,DR. MARIO SALVADORI SCHOOL,s
07X222,DR. MARIO SALVADORI SCHOOL,s
07X222,DR. MARIO SALVADORI SCHOOL,s
07X321,CROTONA ACADEMY HIGH SCHOOL,s
07X321,CROTONA ACADEMY HIGH SCHOOL,s
07X321,CROTONA ACADEMY HIGH SCHOOL,s
07X321,CROTONA ACADEMY HIGH SCHOOL,7.40%
07X321,CROTONA ACADEMY HIGH SCHOOL,25.90%
07X321,CROTONA ACADEMY HIGH SCHOOL,35.20%
07X321,CROTONA ACADEMY HIGH SCHOOL,13.80%
07X321,CROTONA ACADEMY HIGH SCHOOL,26.20%
07X321,CROTONA ACADEMY HIGH SCHOOL,29.70%
07X321,CROTONA ACADEMY HIGH SCHOOL,12.80%
07X321,CROTONA ACADEMY HIGH SCHOOL,23.10%
07X321,CROTONA ACADEMY HIGH SCHOOL,34.50%
07X321,CROTONA ACADEMY HIGH SCHOOL,8.00%
07X321,CROTONA ACADEMY HIGH SCHOOL,12.00%
07X321,CROTONA ACADEMY HIGH SCHOOL,18.40%
07X321,CROTONA ACADEMY HIGH SCHOOL,34.00%
07X321,CROTONA ACADEMY HIGH SCHOOL,14.30%
07X321,CROTONA ACADEMY HIGH SCHOOL,17.90%
07X321,CROTONA ACADEMY HIGH SCHOOL,38.80%
07X321,CROTONA ACADEMY HIGH SCHOOL,41.80%
07X321,CROTONA ACADEMY HIGH SCHOOL,6.10%
07X321,CROTONA ACADEMY HIGH SCHOOL,10.20%
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,s
07X334,INTERNATIONAL COMMUNITY HIGH SCHOOL,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,s
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,11.40%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,57.80%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,72.90%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,16.00%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,20.00%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,36.40%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,51.30%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,10.00%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,18.00%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,36.50%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,36.50%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,10.90%
07X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,12.00%
07X381,BRONX HAVEN HIGH SCHOOL,s
07X381,BRONX HAVEN HIGH SCHOOL,29.20%
07X381,BRONX HAVEN HIGH SCHOOL,s
07X381,BRONX HAVEN HIGH SCHOOL,9.40%
07X381,BRONX HAVEN HIGH SCHOOL,13.20%
07X381,BRONX HAVEN HIGH SCHOOL,56.80%
07X381,BRONX HAVEN HIGH SCHOOL,50.00%
07X381,BRONX HAVEN HIGH SCHOOL,s
07X381,BRONX HAVEN HIGH SCHOOL,s
07X381,BRONX HAVEN HIGH SCHOOL,34.40%
07X381,BRONX HAVEN HIGH SCHOOL,34.40%
07X381,BRONX HAVEN HIGH SCHOOL,4.20%
07X381,BRONX HAVEN HIGH SCHOOL,11.30%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,54.70%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,78.10%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,79.70%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,57.30%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,74.70%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,77.60%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,72.10%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,84.10%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,85.40%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,50.00%
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,s
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,54.90%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,55.20%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,58.80%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,64.20%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,67.90%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,70.90%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,70.90%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,68.40%
07X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,76.30%
07X470,SOUTH BRONX HIGH SCHOOL,17.00%
07X470,SOUTH BRONX HIGH SCHOOL,17.00%
07X470,SOUTH BRONX HIGH SCHOOL,17.00%
07X470,SOUTH BRONX HIGH SCHOOL,s
07X470,SOUTH BRONX HIGH SCHOOL,s
07X470,SOUTH BRONX HIGH SCHOOL,s
07X470,SOUTH BRONX HIGH SCHOOL,s
07X470,SOUTH BRONX HIGH SCHOOL,s
07X470,SOUTH BRONX HIGH SCHOOL,s
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,s
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,s
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,s
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,75.00%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,83.30%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,84.70%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,73.80%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,80.00%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,80.30%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,76.80%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,89.40%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,88.10%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,56.70%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,62.90%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,76.60%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,78.70%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,63.80%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,69.60%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,71.00%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,71.00%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,50.60%
07X473,MOTT HAVEN VILLAGE PREP HIGH SCHOOL,57.60%
07X495,UNIVERSITY HEIGHTS,62.10%
07X495,UNIVERSITY HEIGHTS,70.10%
07X495,UNIVERSITY HEIGHTS,72.40%
07X495,UNIVERSITY HEIGHTS,67.60%
07X495,UNIVERSITY HEIGHTS,75.00%
07X495,UNIVERSITY HEIGHTS,76.50%
07X495,UNIVERSITY HEIGHTS,84.80%
07X495,UNIVERSITY HEIGHTS,88.00%
07X495,UNIVERSITY HEIGHTS,86.30%
07X495,UNIVERSITY HEIGHTS,84.10%
07X495,UNIVERSITY HEIGHTS,89.00%
07X495,UNIVERSITY HEIGHTS,92.30%
07X495,UNIVERSITY HEIGHTS,86.80%
07X495,UNIVERSITY HEIGHTS,86.80%
07X495,UNIVERSITY HEIGHTS,88.70%
07X495,UNIVERSITY HEIGHTS,89.50%
07X495,UNIVERSITY HEIGHTS,90.60%
07X495,UNIVERSITY HEIGHTS,90.60%
07X495,UNIVERSITY HEIGHTS,89.90%
07X495,UNIVERSITY HEIGHTS,89.90%
07X495,UNIVERSITY HEIGHTS,86.40%
07X495,UNIVERSITY HEIGHTS,89.10%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,78.60%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,95.10%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,95.10%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,80.70%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,90.90%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,93.20%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,80.00%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,91.60%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,92.60%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,85.00%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,94.40%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,96.20%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,78.00%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,87.80%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,89.90%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,89.90%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,83.60%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,95.10%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,98.40%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,98.40%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,77.00%
07X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,90.80%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,78.90%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,91.50%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,93.00%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,78.80%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,86.40%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,89.40%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,62.00%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,72.20%
08X332,HOLCOMBE L RUCKER SCHOOL OF COMMUNITY RESEARCH,s
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,77.50%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64.60%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,73.10%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,75.50%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,60.60%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,62.50%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,66.70%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,71.30%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,60.30%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,64.00%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,68.90%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,71.10%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,54.10%
07X520,FOREIGN LANGUAGE ACADEMY OF GLOBAL STUDIES,57.80%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,0.00%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,84.60%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,86.50%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,77.20%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,86.00%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,89.70%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,70.70%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,81.90%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,81.60%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,74.60%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,74.60%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,74.40%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,75.60%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,72.50%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,72.50%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,68.30%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,68.30%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,56.90%
07X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,56.90%
07X547,NEW EXPLORERS HIGH SCHOOL,s
07X547,NEW EXPLORERS HIGH SCHOOL,s
07X547,NEW EXPLORERS HIGH SCHOOL,s
07X547,NEW EXPLORERS HIGH SCHOOL,68.80%
07X547,NEW EXPLORERS HIGH SCHOOL,72.70%
07X547,NEW EXPLORERS HIGH SCHOOL,72.70%
07X547,NEW EXPLORERS HIGH SCHOOL,60.30%
07X547,NEW EXPLORERS HIGH SCHOOL,64.40%
07X547,NEW EXPLORERS HIGH SCHOOL,64.40%
07X547,NEW EXPLORERS HIGH SCHOOL,54.40%
07X547,NEW EXPLORERS HIGH SCHOOL,64.60%
07X547,NEW EXPLORERS HIGH SCHOOL,65.80%
07X547,NEW EXPLORERS HIGH SCHOOL,70.80%
07X547,NEW EXPLORERS HIGH SCHOOL,72.20%
07X547,NEW EXPLORERS HIGH SCHOOL,73.00%
07X547,NEW EXPLORERS HIGH SCHOOL,74.30%
07X547,NEW EXPLORERS HIGH SCHOOL,44.40%
07X547,NEW EXPLORERS HIGH SCHOOL,55.60%
07X547,NEW EXPLORERS HIGH SCHOOL,63.90%
07X547,NEW EXPLORERS HIGH SCHOOL,67.50%
07X547,NEW EXPLORERS HIGH SCHOOL,50.00%
07X547,NEW EXPLORERS HIGH SCHOOL,50.00%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,87.10%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,91.40%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,91.40%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,70.40%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,81.50%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,82.70%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,81.60%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,93.40%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,93.50%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,92.90%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,97.10%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,97.10%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,81.90%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,91.70%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,95.80%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,95.80%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,79.30%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,89.00%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,89.20%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,90.40%
07X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,79.30%
